province_code,province_name,district_code,district_name,ward_code,ward_name,ward_type,full_address
89,An Giang,891,Tri Tôn,30562,Châu Lăng,Xã,"Xã Châu Lăng, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30580,Cô Tô,Thị trấn,"Thị trấn Cô Tô, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30550,Lạc Quới,Xã,"Xã Lạc Quới, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30553,Lê Trì,Xã,"Xã Lê Trì, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30568,Lương An Trà,Xã,"Xã Lương An Trà, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30565,Lương Phi,Xã,"Xã Lương Phi, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30574,Núi Tô,Xã,"Xã Núi Tô, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30586,Ô Lâm,Xã,"Xã Ô Lâm, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30571,Tà Đảnh,Xã,"Xã Tà Đảnh, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30583,Tân Tuyến,Xã,"Xã Tân Tuyến, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30544,Tri Tôn,Thị trấn,"Thị trấn Tri Tôn, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30556,Vĩnh Gia,Xã,"Xã Vĩnh Gia, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30559,Vĩnh Phước,Xã,"Xã Vĩnh Phước, Huyện Tri Tôn, Tỉnh An Giang"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26572,Hoà Long,Xã,"Xã Hoà Long, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26566,Kim Dinh,Phường,"Phường Kim Dinh, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26563,Long Hương,Phường,"Phường Long Hương, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26569,Long Phước,Xã,"Xã Long Phước, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26558,Long Tâm,Phường,"Phường Long Tâm, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26557,Long Toàn,Phường,"Phường Long Toàn, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26548,Phước Hưng,Phường,"Phường Phước Hưng, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26554,Phước Nguyên,Phường,"Phường Phước Nguyên, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26560,Phước Trung,Phường,"Phường Phước Trung, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,26567,Tân Hưng,Xã,"Xã Tân Hưng, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26574,Bàu Chinh,Xã,"Xã Bàu Chinh, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26578,Bình Ba,Xã,"Xã Bình Ba, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26590,Bình Giã,Xã,"Xã Bình Giã, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26593,Bình Trung,Xã,"Xã Bình Trung, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26599,Cù Bị,Xã,"Xã Cù Bị, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26614,Đá Bạc,Xã,"Xã Đá Bạc, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26608,Kim Long,Thị trấn,"Thị trấn Kim Long, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26602,Láng Lớn,Xã,"Xã Láng Lớn, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26575,Ngãi Giao,Thị trấn,"Thị trấn Ngãi Giao, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26617,Nghĩa Thành,Xã,"Xã Nghĩa Thành, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26605,Quảng Thành,Xã,"Xã Quảng Thành, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26587,Sơn Bình,Xã,"Xã Sơn Bình, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26581,Suối Nghệ,Xã,"Xã Suối Nghệ, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26611,Suối Rao,Xã,"Xã Suối Rao, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26596,Xà Bang,Xã,"Xã Xà Bang, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,750,Châu Đức,26584,Xuân Sơn,Xã,"Xã Xuân Sơn, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,753,Long Đất,26680,Đất Đỏ,Thị trấn,"Thị trấn Đất Đỏ, Huyện Long Đất, Tỉnh Bà Rịa - Vũng Tàu"
77,Bà Rịa - Vũng Tàu,753,Long Đất,26698,Láng Dài,Xã,"Xã Láng Dài, Huyện Long Đất, Tỉnh Bà Rịa - Vũng Tàu"
