province_code,province_name,ward_code,ward_name,ward_type,full_address
24,Bắc Ninh,07699,Tân Tiến,Phường,"Phường Tân Tiến, Tỉnh Bắc Ninh"
24,Bắc Ninh,07339,Tân Yên,Xã,"Xã Tân Yên, Tỉnh Bắc Ninh"
24,Bắc Ninh,07616,Tây Yên Tử,Xã,"Xã Tây Yên Tử, Tỉnh Bắc Ninh"
24,Bắc Ninh,09400,Thuận Thành,Phường,"Phường Thuận Thành, Tỉnh Bắc Ninh"
24,Bắc Ninh,09319,Tiên Du,Xã,"Xã Tiên Du, Tỉnh Bắc Ninh"
24,Bắc Ninh,07381,Tiên Lục,Xã,"Xã Tiên Lục, Tỉnh Bắc Ninh"
24,Bắc Ninh,07696,Tiền Phong,Phường,"Phường Tiền Phong, Tỉnh Bắc Ninh"
24,Bắc Ninh,09430,Trạm Lộ,Phường,"Phường Trạm Lộ, Tỉnh Bắc Ninh"
24,Bắc Ninh,09427,Trí Quả,Phường,"Phường Trí Quả, Tỉnh Bắc Ninh"
24,Bắc Ninh,09523,Trung Chính,Xã,"Xã Trung Chính, Tỉnh Bắc Ninh"
24,Bắc Ninh,09499,Trung Kênh,Xã,"Xã Trung Kênh, Tỉnh Bắc Ninh"
24,Bắc Ninh,07489,Trường Sơn,Xã,"Xã Trường Sơn, Tỉnh Bắc Ninh"
24,Bắc Ninh,07774,Tự Lạn,Phường,"Phường Tự Lạn, Tỉnh Bắc Ninh"
24,Bắc Ninh,09367,Từ Sơn,Phường,"Phường Từ Sơn, Tỉnh Bắc Ninh"
24,Bắc Ninh,07663,Tuấn Đạo,Xã,"Xã Tuấn Đạo, Tỉnh Bắc Ninh"
24,Bắc Ninh,07798,Vân Hà,Phường,"Phường Vân Hà, Tỉnh Bắc Ninh"
24,Bắc Ninh,09238,Văn Môn,Xã,"Xã Văn Môn, Tỉnh Bắc Ninh"
24,Bắc Ninh,07621,Vân Sơn,Xã,"Xã Vân Sơn, Tỉnh Bắc Ninh"
24,Bắc Ninh,07777,Việt Yên,Phường,"Phường Việt Yên, Tỉnh Bắc Ninh"
24,Bắc Ninh,09190,Võ Cường,Phường,"Phường Võ Cường, Tỉnh Bắc Ninh"
24,Bắc Ninh,09169,Vũ Ninh,Phường,"Phường Vũ Ninh, Tỉnh Bắc Ninh"
24,Bắc Ninh,07870,Xuân Cẩm,Xã,"Xã Xuân Cẩm, Tỉnh Bắc Ninh"
24,Bắc Ninh,07246,Xuân Lương,Xã,"Xã Xuân Lương, Tỉnh Bắc Ninh"
24,Bắc Ninh,07681,Yên Dũng,Phường,"Phường Yên Dũng, Tỉnh Bắc Ninh"
24,Bắc Ninh,07642,Yên Định,Xã,"Xã Yên Định, Tỉnh Bắc Ninh"
24,Bắc Ninh,09193,Yên Phong,Xã,"Xã Yên Phong, Tỉnh Bắc Ninh"
24,Bắc Ninh,07288,Yên Thế,Xã,"Xã Yên Thế, Tỉnh Bắc Ninh"
24,Bắc Ninh,09205,Yên Trung,Xã,"Xã Yên Trung, Tỉnh Bắc Ninh"
